"PASSAGE_COUNT","PASSENGER_COUNT","transaction_Month","transaction_Year","LINE","STATION_NAME","STATION_NUMBER","TOWN","LATITUDE","LONGITUDE"
1145189,381496,2,2020,TAKSİM-4.LEVENT,Gayrettepe,GTP-GTP,Şişli,"41.0689722222222","29.0108611111111"
618222,237634,2,2020,TAKSİM-4.LEVENT,Levent 2 Kuzey,LVT-L21,Şişli,"41.0759722222222","29.0145555555556"
83135,19969,2,2020,TAKSİM-4.LEVENT,Seyrantepe 1 Batı,ST1-ST1,Sarıyer,"41.1006666666667","28.9951944444444"
404467,147470,2,2020,TAKSİM-4.LEVENT,Vezneciler Güney,VZN-VZ1,Fatih,"41.0121666666667","28.9594166666667"
1058612,439359,2,2020,TAKSİM-4.LEVENT,Yenikapı Kuzey,YNK-YN2,Fatih,"41.0051944444444","28.9517222222222"
424962,111346,2,2020,TAKSİM-4.LEVENT,İTÜ kuzey,ITU-I1U,Şişli,"41.1080833333333","29.0201388888889"
339982,121250,2,2020,TAKSİM-4.LEVENT,Şişhane Güney,SSH-SSH,Beyoğlu,"41.0287222222222","28.9748888888889"
755449,314175,2,2020,TAKSİM-4.LEVENT,Şişli Güney,MCD-SSL,Şişli,"41.0638888888889","28.9921388888889"
28174,13318,2,2020,TELEFERİK MAÇKA - TAŞKIŞLA,Maçka,MCK-MCK,Şişli,"41.04475","28.9940555555556"
236299,84847,2,2020,ÜSKÜDAR ÇEKMEKÖY METROSU,Altunizade 2,ALZ-AM2,Üsküdar,"41.0225277777778","29.0456111111111"
644459,193015,2,2020,ÜSKÜDAR ÇEKMEKÖY METROSU,ÇEKMEKÖY 2,CKM-CK2,Çekmeköy,"41.0145277777778","29.1895"
25341,15308,2,2020,İETT NOSTALJİK TRAMVAY,,"",Beyoğlu,"",""
241214,105528,3,2019,AKSARAY-HAVALİMANI,AKSARAY 1,AKE-EMN,Fatih,"41.0118333333333","28.9478888888889"
875263,363852,3,2019,AKSARAY-HAVALİMANI,ATAKOY,SRE-ATK,Bakırköy,"40.9913611111111","28.8458333333333"
