TRAFFIC_INDEX_DATE,MINIMUM_TRAFFIC_INDEX,MAXIMUM_TRAFFIC_INDEX,AVERAGE_TRAFFIC_INDEX
2020-05-07 00:00:00 +0000 UTC,1,255,17
2020-05-08 00:00:00 +0000 UTC,1,255,29
2020-05-09 00:00:00 +0000 UTC,1,255,15
2020-05-10 00:00:00 +0000 UTC,1,255,13
2020-05-11 00:00:00 +0000 UTC,1,255,64
2020-05-12 00:00:00 +0000 UTC,1,255,57
2020-05-13 00:00:00 +0000 UTC,1,255,57
2020-05-14 00:00:00 +0000 UTC,1,255,57
2020-05-15 00:00:00 +0000 UTC,1,255,67
2020-05-16 00:00:00 +0000 UTC,1,255,47
2020-05-17 00:00:00 +0000 UTC,1,255,34
2020-05-18 00:00:00 +0000 UTC,1,255,8
2020-05-19 00:00:00 +0000 UTC,1,255,9
2020-05-20 00:00:00 +0000 UTC,1,255,30
2020-05-21 00:00:00 +0000 UTC,1,255,30
2020-05-22 00:00:00 +0000 UTC,6,255,30
2020-05-23 00:00:00 +0000 UTC,1,255,9
2020-05-24 00:00:00 +0000 UTC,1,255,4
2020-05-25 00:00:00 +0000 UTC,1,255,5
