route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7271,37,EDİRNEKAPI- BAYRAMPAŞA-CEVATPAŞA,CEVATPAŞA - B.PAŞA - OTOGAR - EYÜP - EDİRNEKAPI,,9,,,
7192,37,ŞİŞHANE-CENGİZ TOPEL CD-YUNUS EMRE MAHALLESİ,ŞİŞLİ - ŞİŞHANE - KARAYOLLARI - İMAR BLOKLARI,,9,,,
7281,37,SANTRAL-DUMLUPINAR-SEYRANTEPE,ÜMRANİYE(SANTRAL) - DUMLUPINAR - SEYRANTEPE,,9,,,
7382,37,KADIKÖY-KAZASKER-İÇERENKÖY-İNÖNÜ-FERHATPAŞA,KADIKÖY - KÜÇÜKBAKKALKÖY,,9,,,
7455,37,BAKIRKÖY-HASTANE-ESENLER-ATIŞALANI-1,BAKIRKÖY - ESENLER - ATIŞALANI - OTOGAR,,9,,,
7325,37,CEBECİ- GAZİOSMANPAŞA,CEBECİ - GAZİ MH - KÜÇÜKKÖY - GAZİOSMANPAŞA - EYÜP,,9,,,
7489,37,KARTAL-YAKACI -SAMANDIRA-S.BEYLİ-YENİŞEHİR VİAPORT,KARTAL-YAKACI -SAMANDIRA-S.BEYLİ-YENİŞEHİR VİAPORT,,9,,,
7166,37,OTOGAR-EDİRNEKAPI,CEVATPAŞA - BAYRAMPAŞA - OTOGAR - EYÜP - EDİRNEKAPI,,9,,,
7134,37,TOPKAPI-ALİBEYKÖY-ATATÜRK CAD.-AKŞEMSETTİN BULVARI-VİALAND,KARAYOLLARI-İ.H.L - ALİBEYKÖY - EYÜP - EDİRNEKAPI -TOPKAPI,,9,,,
7269,37,EDİRNEKAPI-HAL  (MEGA CENTER),CEVATPAŞA - B.PAŞA - OTOGAR - EYÜP - EDİRNEKAPI,,9,,,
7304,37,TOPKAPI-ÇİFTLİK-GÖZTEPE MH-İSTOÇ,TOPKAPI - ÇİFTLİK - FATİH MAHALLESİ - İSTOÇ,,9,,,
7487,37,12.GÜZERGAH,AVCILAR - ESENYURT,,9,,,
7123,37,TOPKAPI-ALİBEYKÖY-GÜZELTEPE MAH.,KARAYOLLARI-İ.H.L - ALİBEYKÖY - EYÜP - EDİRNEKAPI -TOPKAPI,,9,,,
7194,37,KADIKÖY-D-100-ÜNALAN-SOYAK-BULGURLU,KADIKÖY - ACIBADEM - ÜNALAN MH. - BULGURLU MH.,,9,,,
7446,37,İNCİRLİ-YENİMAHALLE,İNCİRLİ - EVREN MH. - BAĞCILAR,,9,,,
7435,37,DEREAĞZI MH-YAKUPLU HASIRCILAR İŞ MERKEZİ,B.ÇEKMECE - GÜRPINAR - YAKUPLU - BEYLİKDÜZÜ,,9,,,
7387,37,ÜSKÜDAR-BAĞLARBAŞI-ÜMRANİYE-DUDULLU-ALEMDAĞ,ÜSKÜDAR - ÜMRANİYE - ALEMDAĞ,,9,,,
7135,37,AVCILAR-DELİKLİKAYA,AVCILAR - ESENYURT,,9,,,
7127,37,TOPKAPI-ALİBEYKÖY-ATATÜRK CAD.-AKŞEMSETTİN BULVARI,KARAYOLLARI-İ.H.L - ALİBEYKÖY - EYÜP - EDİRNEKAPI -TOPKAPI,,9,,,
7151,37,SEFAKÖY-GÜVERCİNTEPE-KAYAŞEHİR,SEFAKÖY - KAYABAŞI - BOĞAZKÖY,,9,,,
7110,37,BAKIRKÖY – BAĞCILAR – KEMALPAŞA GÜZERGAHI-1,BAKIRKÖY - BAĞCILAR - KEMALPAŞA MH. - ŞİRİNEVLER,,9,,,
7297,37,PENDİK-AYDINLI KÖYÜ-DERİ SANAYİ-MERMERCİLER-KİMYA*,PENDİK - AYDINLI KÖYÜ - DERİ SANAYİİ,,9,,,
7395,37,KADIKÖY-ÖRNEK MAHALLESİ-MUSTAFA KEMAL MAH,KADIKÖY - ÖRNEK MH - M.KEMAL MH. - EYÜBOĞLU,,9,,,
7413,37,CENNET- TEPEÜSTÜ-KANARYA-HASTANE,KÜÇÜKÇEKMECE - SEFAKÖY - SULTAN MURAT,,9,,,
7171,37,GÖKTÜRK-EYÜP,GÖKTÜRK - KEMERBURGAZ - ALİBEYKÖY - EYÜP,,9,,,
7175,37,ÇAĞLAYAN-EDİRNEKAPI-TOPKAPI,ÇAĞLAYAN - TOPKAPI,,9,,,
7443,37,TOPKAPI-BASIN SİTESİ-RADAR,TOPKAPI - YAYLA - ÇAVUŞPAŞA - OTOSANAYİ,,9,,,
